stableEdge,priv_auto,on_demand,carpool,walking,biking,total,direction,streetName,Year,Type,yearbinary,treatment
"11870523074487627587",243,76,310,393,159,1185,W,M Street Northwest,2022,Study Area,1,2
"10135174328234500269",286,69,417,269,306,1397,W,R Street Northwest,2022,Controls,1,0
"13200917559262919159",214,18,403,659,391,1685,W,K Street Northwest (access road),2022,Controls,1,0
"11925429454790799013",402,34,204,516,315,1475,W,D Street Northwest,2022,Controls,1,0
"8388509380777280587",253,53,512,510,50,1378,W,M Street Northwest,2022,Study Area,1,2
"4605497726169657222",192,43,330,648,127,1344,W,M Street Northwest,2022,Study Area,1,2
"6522305742045000561",241,25,386,461,39,1158,W,C Street Northwest,2022,Controls,1,0
"13703753006746820502",276,17,211,253,1901,2714,W,S Street Northwest,2022,Controls,1,0
"8192869827072239000",1537,107,816,149,535,3153,W,D Street Northeast,2022,Controls,1,0
"6458358646854585008",279,43,141,178,256,922,W,R Street Northwest,2022,Controls,1,0
"15441956625929557175",757,52,352,139,35,1345,W,South Carolina Avenue Southeast,2022,Controls,1,0
"10452359342227599456",183,37,569,246,142,1199,W,R Street Northwest,2022,Controls,1,0
"3093601495976456804",92,6,216,33,345,1138,W,K Street Northwest (access road),2022,Study Area,1,2
"17614047780482010443",7019,210,1326,171,411,9350,W,Franklin Street Northeast,2022,Controls,1,0
"7206509671863147995",725,101,1350,147,433,2784,W,D Street Southeast,2022,Controls,1,0
"14308602255426049993",6729,222,1442,151,305,9065,W,Franklin Street Northeast,2022,Controls,1,0
"401932481124920469",644,79,422,367,665,2196,W,I Street Southwest,2022,Controls,1,0
"5611890640147478203",243,76,304,385,158,1170,W,M Street Northwest,2022,Study Area,1,2
"4958883468403388633",402,45,216,136,37,838,W,L'Enfant Plaza Southwest,2022,Controls,1,0
"9893158650382657014",0,0,0,133,0,197,W,Madison Drive Northwest,2022,Controls,1,0
"6287309875613024019",219,17,164,60,28,505,W,C Street Northwest,2022,Controls,1,0
"11092329073949102789",270,16,173,225,1890,2630,W,S Street Northwest,2022,Controls,1,0
"13154575324488969356",1110,100,543,311,1130,4071,W,Q Street Northwest,2022,Controls,1,0
"7046816259513390392",6964,207,1315,178,409,9286,W,Franklin Street Northeast,2022,Controls,1,0
"16522002871978007444",44,2,56,33,353,859,W,K Street Northwest (access road),2022,Study Area,1,2
"16856085860938304430",668,109,581,138,1128,2637,W,R Street Northwest,2022,Controls,1,0
"11743692013524527079",250,22,334,36,339,1103,W,Madison Drive Northwest,2022,Controls,1,0
"7487381474360937942",854,131,1073,345,121,2551,W,G Street Northwest,2022,Study Area,1,2
"2903543284747482212",1353,120,641,249,339,2941,W,E Street Northwest,2022,Study Area,1,2
"8305307542591150881",641,78,504,81,17,1362,W,E Street Southwest,2022,Controls,1,0
"7467504009363458975",0,0,0,551,380,1744,W,K Street Northwest (access road),2022,Controls,1,0
"16230392424569436622",126,7,116,659,393,1301,W,K Street Northwest (access road),2022,Controls,1,0
"11024800500253920932",294,29,307,75,331,1145,W,Madison Drive Northwest,2022,Controls,1,0
"12136953138610613071",349,53,163,142,410,1142,W,R Street Northwest,2022,Controls,1,0
"7537077028893040728",363,50,375,428,871,2350,W,I Street Southwest,2022,Controls,1,0
"10626419383881985085",381,89,614,101,991,2182,W,L Street Northwest,2022,Study Area,1,2
"14726919302762579630",1797,230,2627,948,181,5816,W,I Street Northwest,2022,Controls,1,0
"1309846376835960382",6439,359,4011,476,1606,12939,W,Kenyon Street Northwest,2022,Controls,1,0
"11813091467491154012",1206,171,606,598,650,3254,W,M Street Northwest,2022,Study Area,1,2
"12032178499150160603",238,52,531,488,52,1361,W,M Street Northwest,2022,Study Area,1,2
"7385004675037690664",39,15,305,22,320,701,W,M Street Northwest,2022,Study Area,1,2
"13958563222748163521",321,25,281,529,1252,2494,W,V Street Northwest,2022,Controls,1,0
"13149615944509842059",212,17,214,44,28,524,W,C Street Northwest,2022,Controls,1,0
"11070423587933064767",233,44,416,372,125,1192,W,O Street Northwest,2022,Study Area,1,2
"4092078723282750003",248,21,208,389,293,1173,W,V Street Northwest,2022,Controls,1,0
"1030607553166959024",584,101,359,258,1310,2653,W,R Street Northwest,2022,Controls,1,0
"10939525259976342501",510,63,758,215,407,1965,W,I Street Northwest,2022,Study Area,1,2
"8603748310459244659",1036,53,731,65,2006,3907,W,G Street Northwest,2022,Controls,1,0
"11856524383597320636",917,103,455,364,612,2573,W,I Street Southwest,2022,Controls,1,0
"7835638020626941158",190,42,335,526,50,1156,W,M Street Northwest,2022,Study Area,1,2
"565405140097545325",2492,186,725,245,312,4020,W,D Street Northwest,2022,Controls,1,0
"17587012768931051818",286,67,371,286,311,1379,W,R Street Northwest,2022,Controls,1,0
"10129627137983423494",275,7,46,8,2301,2680,W,Ohio Drive Southwest,2022,Controls,1,0
"12126866018911286149",57,3,86,782,83,1524,W,K Street Northwest (access road),2022,Controls,1,0
"13821074092085877464",344,41,390,271,169,1234,W,O Street Northwest,2022,Study Area,1,2
"10928671411575562177",326,51,553,428,220,1586,W,I Street Northwest,2022,Study Area,1,2
"13889595356474624180",148,20,234,165,572,1691,W,K Street Northwest (access road),2022,Study Area,1,2
"10796715440939559789",9,0,1,22,682,721,W,Lincoln Memorial Circle Northwest,2022,Controls,1,0
"5218181263820672160",1488,65,1038,55,2803,5592,W,G Street Northwest,2022,Controls,1,0
"9220666839031618367",275,7,46,7,6,381,W,Ohio Drive Southwest,2022,Controls,1,0
"3963040099907960629",161,32,161,195,240,799,W,C Street Southwest,2022,Controls,1,0
"13931549728478505520",1358,84,1139,152,2682,5558,W,G Street Northwest,2022,Controls,1,0
"11752101210157418061",222,56,230,1225,320,2053,W,L Street Northwest,2022,Study Area,1,2
"912708477301016491",442,57,351,314,802,1982,W,I Street Southwest,2022,Controls,1,0
"7754802863186788423",42,7,50,10,8,127,W,E Street Southwest,2022,Controls,1,0
"1388073927823029558",88,25,108,558,81,863,W,M Street Northwest,2022,Study Area,1,2
"8420001290458123477",916,102,448,344,610,2532,W,I Street Southwest,2022,Controls,1,0
"15457844373958521972",118,8,160,138,193,651,W,R Street Northwest,2022,Controls,1,0
"13078253790899516328",232,35,229,192,210,906,W,V Street Northwest,2022,Controls,1,0
"8138650524549174268",617,101,1324,31,614,2709,W,D Street Southwest,2022,Controls,1,0
"5224107071536190832",753,89,459,306,602,2231,W,I Street Southwest,2022,Controls,1,0
"79958674355233376",219,19,215,108,28,597,W,C Street Northwest,2022,Controls,1,0
"4540239204488781690",2026,38,312,110,243,3115,W,Franklin Street Northeast,2022,Controls,1,0
"13144098485724782290",712,82,557,646,800,2863,W,I Street Southwest,2022,Controls,1,0
"1137697779081616554",238,52,529,508,52,1379,W,M Street Northwest,2022,Study Area,1,2
"8783145440811681239",231,21,275,145,57,745,W,E Street Southeast,2022,Controls,1,0
"629683432134400552",962,77,503,93,511,3018,W,Q Street Northwest,2022,Controls,1,0
"5072301029030483952",135,31,142,403,111,826,W,M Street Northwest,2022,Study Area,1,2
"3165014556995921126",564,90,1236,32,614,2559,W,D Street Southwest,2022,Controls,1,0
"18422825656973745916",991,152,1892,118,456,3610,W,I Street Northwest,2022,Study Area,1,2
"8376185304243790561",669,92,225,75,47,1186,W,T Street Northwest,2022,Controls,1,0
"15392298649471045224",60,3,18,212,9,302,W,V Street Northwest,2022,Controls,1,0
"1468842903769719886",266,23,209,384,291,1187,W,V Street Northwest,2022,Controls,1,0
"11714452654581561770",4058,290,1203,418,331,6376,W,D Street Northwest,2022,Controls,1,0
"1160087592715850990",1089,115,573,196,310,2526,W,E Street Northwest,2022,Study Area,1,2
"10611196388785929710",1837,238,2730,782,196,5812,W,I Street Northwest,2022,Controls,1,0
"8579003591588430701",1163,150,480,676,638,3123,W,M Street Northwest,2022,Study Area,1,2
"8347437239919784219",6818,204,1295,712,633,9884,W,Franklin Street Northeast,2022,Controls,1,0
"6684989702130368331",1699,218,2526,573,213,5262,W,I Street Northwest,2022,Controls,1,0
"11742734873447402954",1255,132,382,1047,1025,3874,W,I Street Southeast,2022,Controls,1,0
"17930093444087544969",98,8,106,167,180,598,W,R Street Northwest,2022,Controls,1,0
"14973157822801038049",380,75,357,204,319,1375,W,R Street Northwest,2022,Controls,1,0
"17745286861127784161",594,63,441,103,530,1731,W,G Street Northwest,2022,Study Area,1,2
"9375741290625068511",385,22,258,5,273,944,W,D Street Southeast,2022,Controls,1,0
"17909238394614965271",564,90,1236,32,614,2552,W,D Street Southwest,2022,Controls,1,0
"15561778049895958207",386,59,195,137,407,1209,W,R Street Northwest,2022,Controls,1,0
"11156576063657117062",2135,261,1049,10,33,3584,W,Frontage Road Southwest,2022,Controls,1,0
"10396352759952349094",574,70,971,193,407,2228,W,D Street Southeast,2022,Controls,1,0
"9458827781307777494",118,25,366,720,890,2119,W,K Street Northwest (access road),2022,Controls,1,0
"8656216944435050005",774,58,353,159,45,1400,W,South Carolina Avenue Southeast,2022,Controls,1,0
"11981060196166593925",1094,131,998,129,148,2737,W,E Street Northwest,2022,Study Area,1,2
"14078926106126312376",501,47,396,227,531,1702,W,G Street Northwest,2022,Study Area,1,2
"16300277655037899242",617,101,1324,31,614,2709,W,D Street Southwest,2022,Controls,1,0
"1431752874107740168",159,18,163,187,95,622,W,Pennsylvania Avenue Northwest,2022,Controls,1,0
"51983532694285604",349,65,344,72,288,1192,W,D Street Southwest,2022,Controls,1,0
"13217452171675798330",250,22,334,35,339,1090,W,Madison Drive Northwest,2022,Controls,1,0
"17964401055449857851",219,17,164,49,28,494,W,C Street Northwest,2022,Controls,1,0
"11635080116933119480",452,41,364,441,313,1615,W,D Street Northwest,2022,Controls,1,0
"16382793242600592547",705,117,452,210,1305,2830,W,R Street Northwest,2022,Controls,1,0
"7776148336674022123",2027,38,318,108,243,3120,W,Franklin Street Northeast,2022,Controls,1,0
"18329334257088335211",602,78,666,429,318,2299,W,E Street Northwest,2022,Controls,1,0
"7000485764801191780",317,35,121,31,139,737,W,T Street Northeast,2022,Controls,1,0
"4501577936339575465",712,82,557,644,798,2859,W,I Street Southwest,2022,Controls,1,0
"17889513912394460773",1537,107,816,151,535,3155,W,D Street Northeast,2022,Controls,1,0
